tree_idx,node_idx,feature_idx,split_value,left_child,right_child,is_leaf,label
47,9,3,0.8210354447364807,10,11,0,-1
47,10,-1,-1.0,-1,-1,1,0
47,11,4,0.30218587815761566,12,13,0,-1
47,12,-1,-1.0,-1,-1,1,0
47,13,-1,-1.0,-1,-1,1,1
47,14,3,0.4155874699354172,15,16,0,-1
47,15,-1,-1.0,-1,-1,1,0
47,16,2,0.30168549716472626,17,18,0,-1
47,17,-1,-1.0,-1,-1,1,1
47,18,-1,-1.0,-1,-1,1,0
48,0,1,0.24503806978464127,1,18,0,-1
48,1,4,0.002531500766053796,2,3,0,-1
48,2,-1,-1.0,-1,-1,1,0
48,3,0,0.7566688358783722,4,17,0,-1
48,4,3,0.7557004690170288,5,6,0,-1
48,5,-1,-1.0,-1,-1,1,1
48,6,4,0.03352175932377577,7,8,0,-1
48,7,-1,-1.0,-1,-1,1,1
48,8,4,0.46239303052425385,9,16,0,-1
48,9,4,0.25739841163158417,10,13,0,-1
48,10,0,0.6787393093109131,11,12,0,-1
48,11,-1,-1.0,-1,-1,1,0
48,12,-1,-1.0,-1,-1,1,1
48,13,0,0.7243126630783081,14,15,0,-1
48,14,-1,-1.0,-1,-1,1,1
48,15,-1,-1.0,-1,-1,1,0
48,16,-1,-1.0,-1,-1,1,1
48,17,-1,-1.0,-1,-1,1,1
48,18,4,0.3331516236066818,19,22,0,-1
48,19,4,0.014606066979467869,20,21,0,-1
48,20,-1,-1.0,-1,-1,1,0
48,21,-1,-1.0,-1,-1,1,1
48,22,-1,-1.0,-1,-1,1,0
49,0,4,0.41033777594566345,1,18,0,-1
49,1,0,0.7183345854282379,2,13,0,-1
49,2,4,0.3515891581773758,3,12,0,-1
49,3,2,0.9333173334598541,4,11,0,-1
49,4,3,0.0634499229490757,5,6,0,-1
49,5,-1,-1.0,-1,-1,1,0
49,6,2,0.87977334856987,7,8,0,-1
49,7,-1,-1.0,-1,-1,1,1
49,8,4,0.016912536695599556,9,10,0,-1
49,9,-1,-1.0,-1,-1,1,0
49,10,-1,-1.0,-1,-1,1,1
49,11,-1,-1.0,-1,-1,1,1
49,12,-1,-1.0,-1,-1,1,0
49,13,3,0.8805759251117706,14,17,0,-1
49,14,3,0.8389210999011993,15,16,0,-1
49,15,-1,-1.0,-1,-1,1,1
49,16,-1,-1.0,-1,-1,1,0
49,17,-1,-1.0,-1,-1,1,1
49,18,2,0.28093670308589935,19,20,0,-1
49,19,-1,-1.0,-1,-1,1,1
49,20,-1,-1.0,-1,-1,1,0
50,0,1,0.2121797800064087,1,10,0,-1
50,1,0,0.773108720779419,2,3,0,-1
50,2,-1,-1.0,-1,-1,1,1
50,3,4,0.2585473731160164,4,5,0,-1
50,4,-1,-1.0,-1,-1,1,1
50,5,4,0.28287287056446075,6,9,0,-1
50,6,0,0.8230486810207367,7,8,0,-1
50,7,-1,-1.0,-1,-1,1,0
50,8,-1,-1.0,-1,-1,1,1
50,9,-1,-1.0,-1,-1,1,1
50,10,1,0.8813662528991699,11,42,0,-1
50,11,3,0.07725326344370842,12,27,0,-1
50,12,3,0.06665540114045143,13,22,0,-1
50,13,3,0.04807620495557785,14,17,0,-1
50,14,4,0.30272551625967026,15,16,0,-1
50,15,-1,-1.0,-1,-1,1,1
50,16,-1,-1.0,-1,-1,1,0
50,17,1,0.8211729824542999,18,19,0,-1
50,18,-1,-1.0,-1,-1,1,1
50,19,4,0.2768842987716198,20,21,0,-1
50,20,-1,-1.0,-1,-1,1,1
50,21,-1,-1.0,-1,-1,1,0
50,22,2,0.9289146959781647,23,26,0,-1
50,23,4,0.28438858687877655,24,25,0,-1
50,24,-1,-1.0,-1,-1,1,1
50,25,-1,-1.0,-1,-1,1,0
50,26,-1,-1.0,-1,-1,1,1
50,27,3,0.2074190452694893,28,35,0,-1
50,28,4,0.29839207977056503,29,34,0,-1
50,29,3,0.20516657084226608,30,31,0,-1
50,30,-1,-1.0,-1,-1,1,1
50,31,4,0.08381889387965202,32,33,0,-1
50,32,-1,-1.0,-1,-1,1,0
50,33,-1,-1.0,-1,-1,1,1
50,34,-1,-1.0,-1,-1,1,0
50,35,1,0.7761695086956024,36,41,0,-1
50,36,4,0.3760470598936081,37,40,0,-1
50,37,3,0.623656302690506,38,39,0,-1
50,38,-1,-1.0,-1,-1,1,1
50,39,-1,-1.0,-1,-1,1,0
50,40,-1,-1.0,-1,-1,1,0
50,41,-1,-1.0,-1,-1,1,1
50,42,4,0.3005799502134323,43,46,0,-1
50,43,4,0.014606066979467869,44,45,0,-1
50,44,-1,-1.0,-1,-1,1,0
50,45,-1,-1.0,-1,-1,1,1
50,46,-1,-1.0,-1,-1,1,0
51,0,3,0.26656395196914673,1,4,0,-1
51,1,4,0.3445947766304016,2,3,0,-1
51,2,-1,-1.0,-1,-1,1,1
51,3,-1,-1.0,-1,-1,1,0
51,4,0,0.7380617260932922,5,16,0,-1
51,5,4,0.002531500766053796,6,7,0,-1
51,6,-1,-1.0,-1,-1,1,0
51,7,4,0.31102946400642395,8,9,0,-1
51,8,-1,-1.0,-1,-1,1,1
51,9,0,0.7108950614929199,10,15,0,-1
51,10,0,0.621835470199585,11,12,0,-1
51,11,-1,-1.0,-1,-1,1,1
51,12,3,0.7949531376361847,13,14,0,-1
51,13,-1,-1.0,-1,-1,1,0
51,14,-1,-1.0,-1,-1,1,1
51,15,-1,-1.0,-1,-1,1,0
51,16,-1,-1.0,-1,-1,1,1
52,0,1,0.20766036212444305,1,10,0,-1
52,1,2,0.02446800284087658,2,9,0,-1
52,2,3,0.8509608507156372,3,8,0,-1
52,3,0,0.7115134000778198,4,7,0,-1
52,4,4,0.3150901421904564,5,6,0,-1
52,5,-1,-1.0,-1,-1,1,1
52,6,-1,-1.0,-1,-1,1,0
52,7,-1,-1.0,-1,-1,1,0
52,8,-1,-1.0,-1,-1,1,1
52,9,-1,-1.0,-1,-1,1,1
52,10,1,0.879153698682785,11,24,0,-1
52,11,1,0.8145507276058197,12,21,0,-1
52,12,0,0.14615119248628616,13,16,0,-1
52,13,4,0.2932872287929058,14,15,0,-1
52,14,-1,-1.0,-1,-1,1,1
52,15,-1,-1.0,-1,-1,1,0
52,16,3,0.4279526025056839,17,18,0,-1
52,17,-1,-1.0,-1,-1,1,0
52,18,4,0.005022495985031128,19,20,0,-1
52,19,-1,-1.0,-1,-1,1,0
52,20,-1,-1.0,-1,-1,1,1
52,21,4,0.3356229290366173,22,23,0,-1
52,22,-1,-1.0,-1,-1,1,1
52,23,-1,-1.0,-1,-1,1,0
52,24,4,0.3434286043047905,25,26,0,-1
52,25,-1,-1.0,-1,-1,1,1
52,26,-1,-1.0,-1,-1,1,0
53,0,4,0.4435396045446396,1,10,0,-1
53,1,4,0.007474260870367289,2,5,0,-1
53,2,0,0.7063732445240021,3,4,0,-1
53,3,-1,-1.0,-1,-1,1,0
53,4,-1,-1.0,-1,-1,1,1
53,5,4,0.4179336130619049,6,7,0,-1
53,6,-1,-1.0,-1,-1,1,1
53,7,1,0.4318906366825104,8,9,0,-1
53,8,-1,-1.0,-1,-1,1,1
53,9,-1,-1.0,-1,-1,1,0
53,10,3,0.4051513522863388,11,12,0,-1
53,11,-1,-1.0,-1,-1,1,0
53,12,-1,-1.0,-1,-1,1,1
54,0,2,0.1782592386007309,1,8,0,-1
54,1,4,0.4441513270139694,2,3,0,-1
54,2,-1,-1.0,-1,-1,1,1
54,3,0,0.7485330998897552,4,7,0,-1
54,4,4,0.49423210322856903,5,6,0,-1
54,5,-1,-1.0,-1,-1,1,0
54,6,-1,-1.0,-1,-1,1,1
54,7,-1,-1.0,-1,-1,1,1
54,8,3,0.09197846055030823,9,16,0,-1
54,9,4,0.3319854512810707,10,15,0,-1
54,10,3,0.07843955606222153,11,12,0,-1
54,11,-1,-1.0,-1,-1,1,1
54,12,2,0.9157680869102478,13,14,0,-1
54,13,-1,-1.0,-1,-1,1,1
54,14,-1,-1.0,-1,-1,1,0
54,15,-1,-1.0,-1,-1,1,0
54,16,3,0.2117641195654869,17,20,0,-1
54,17,4,0.287732757627964,18,19,0,-1
54,18,-1,-1.0,-1,-1,1,1
54,19,-1,-1.0,-1,-1,1,0
54,20,0,0.17710280418395996,21,24,0,-1
54,21,4,0.2826279066503048,22,23,0,-1
54,22,-1,-1.0,-1,-1,1,1
54,23,-1,-1.0,-1,-1,1,0
54,24,3,0.6338296234607697,25,30,0,-1
54,25,0,0.34902435541152954,26,29,0,-1
54,26,3,0.26765652000904083,27,28,0,-1
54,27,-1,-1.0,-1,-1,1,1
54,28,-1,-1.0,-1,-1,1,0
54,29,-1,-1.0,-1,-1,1,1
54,30,-1,-1.0,-1,-1,1,0
55,0,0,0.242762491106987,1,10,0,-1
55,1,3,0.0927792489528656,2,5,0,-1
55,2,4,0.3319854512810707,3,4,0,-1
55,3,-1,-1.0,-1,-1,1,1
55,4,-1,-1.0,-1,-1,1,0
55,5,4,0.287732757627964,6,9,0,-1
55,6,4,0.014606066979467869,7,8,0,-1
55,7,-1,-1.0,-1,-1,1,0
55,8,-1,-1.0,-1,-1,1,1
55,9,-1,-1.0,-1,-1,1,0
55,10,1,0.20809707790613174,11,18,0,-1
55,11,0,0.7573254704475403,12,17,0,-1
55,12,3,0.8505731225013733,13,14,0,-1
55,13,-1,-1.0,-1,-1,1,1
55,14,3,0.8591118454933167,15,16,0,-1
55,15,-1,-1.0,-1,-1,1,0
55,16,-1,-1.0,-1,-1,1,1
55,17,-1,-1.0,-1,-1,1,1
55,18,3,0.6479569971561432,19,20,0,-1
55,19,-1,-1.0,-1,-1,1,1
55,20,-1,-1.0,-1,-1,1,0
56,0,4,0.4372611790895462,1,22,0,-1
56,1,2,0.7746403515338898,2,17,0,-1
56,2,2,0.2224816083908081,3,14,0,-1
56,3,3,0.8605947494506836,4,13,0,-1
56,4,4,0.25641024112701416,5,6,0,-1
56,5,-1,-1.0,-1,-1,1,1
56,6,0,0.6156603693962097,7,8,0,-1
56,7,-1,-1.0,-1,-1,1,1
56,8,0,0.7117080688476562,9,10,0,-1
56,9,-1,-1.0,-1,-1,1,0
56,10,0,0.7348886430263519,11,12,0,-1
56,11,-1,-1.0,-1,-1,1,1
56,12,-1,-1.0,-1,-1,1,1
56,13,-1,-1.0,-1,-1,1,1
56,14,4,0.005022495985031128,15,16,0,-1
56,15,-1,-1.0,-1,-1,1,0
56,16,-1,-1.0,-1,-1,1,1
56,17,0,0.047358715906739235,18,19,0,-1
56,18,-1,-1.0,-1,-1,1,1
56,19,2,0.9269147217273712,20,21,0,-1
56,20,-1,-1.0,-1,-1,1,1
56,21,-1,-1.0,-1,-1,1,0
56,22,1,0.41167721152305603,23,24,0,-1
56,23,-1,-1.0,-1,-1,1,1
56,24,-1,-1.0,-1,-1,1,0
57,0,2,0.22129826247692108,1,6,0,-1
57,1,4,0.7107208669185638,2,3,0,-1
57,2,-1,-1.0,-1,-1,1,1
57,3,4,0.7473224103450775,4,5,0,-1
57,4,-1,-1.0,-1,-1,1,0
57,5,-1,-1.0,-1,-1,1,1
57,6,1,0.8762997984886169,7,42,0,-1
57,7,2,0.9063769280910492,8,27,0,-1
57,8,0,0.1449250429868698,9,16,0,-1
57,9,0,0.08947133645415306,10,15,0,-1
57,10,1,0.8035995066165924,11,12,0,-1
57,11,-1,-1.0,-1,-1,1,0
57,12,1,0.8726784288883209,13,14,0,-1
57,13,-1,-1.0,-1,-1,1,1
57,14,-1,-1.0,-1,-1,1,0
57,15,-1,-1.0,-1,-1,1,1
57,16,3,0.15731072798371315,17,18,0,-1
57,17,-1,-1.0,-1,-1,1,1
57,18,3,0.2179412543773651,19,24,0,-1
57,19,3,0.2173529788851738,20,23,0,-1
57,20,1,0.6862743198871613,21,22,0,-1
57,21,-1,-1.0,-1,-1,1,0
57,22,-1,-1.0,-1,-1,1,0
57,23,-1,-1.0,-1,-1,1,1
57,24,4,0.5745289474725723,25,26,0,-1
57,25,-1,-1.0,-1,-1,1,0
57,26,-1,-1.0,-1,-1,1,1
57,27,3,0.04352632537484169,28,29,0,-1
57,28,-1,-1.0,-1,-1,1,0
57,29,3,0.044142765924334526,30,31,0,-1
57,30,-1,-1.0,-1,-1,1,1
57,31,1,0.8133467435836792,32,35,0,-1
57,32,4,0.28800930455327034,33,34,0,-1
57,33,-1,-1.0,-1,-1,1,1
57,34,-1,-1.0,-1,-1,1,0
57,35,1,0.8611483573913574,36,39,0,-1
57,36,4,0.2706340551376343,37,38,0,-1
57,37,-1,-1.0,-1,-1,1,1
57,38,-1,-1.0,-1,-1,1,0
57,39,4,0.2900095582008362,40,41,0,-1
57,40,-1,-1.0,-1,-1,1,1
57,41,-1,-1.0,-1,-1,1,0
57,42,4,0.3445947766304016,43,44,0,-1
57,43,-1,-1.0,-1,-1,1,1
57,44,-1,-1.0,-1,-1,1,0
58,0,1,0.2186906710267067,1,10,0,-1
58,1,0,0.7805269360542297,2,9,0,-1
58,2,0,0.7137916684150696,3,4,0,-1
58,3,-1,-1.0,-1,-1,1,1
58,4,3,0.8794361650943756,5,8,0,-1
58,5,4,0.521946057677269,6,7,0,-1
58,6,-1,-1.0,-1,-1,1,0
58,7,-1,-1.0,-1,-1,1,1
58,8,-1,-1.0,-1,-1,1,1
58,9,-1,-1.0,-1,-1,1,1
58,10,1,0.8807031512260437,11,28,0,-1
58,11,0,0.05571905896067619,12,17,0,-1
58,12,1,0.8186813294887543,13,14,0,-1
58,13,-1,-1.0,-1,-1,1,1
58,14,4,0.27434098720550537,15,16,0,-1
58,15,-1,-1.0,-1,-1,1,1
58,16,-1,-1.0,-1,-1,1,0
58,17,4,0.250521682202816,18,27,0,-1
58,18,2,0.5041148960590363,19,20,0,-1
58,19,-1,-1.0,-1,-1,1,0
58,20,3,0.20408406108617783,21,22,0,-1
58,21,-1,-1.0,-1,-1,1,1
58,22,2,0.7822656035423279,23,26,0,-1
58,23,1,0.7859958410263062,24,25,0,-1
58,24,-1,-1.0,-1,-1,1,1
58,25,-1,-1.0,-1,-1,1,0
58,26,-1,-1.0,-1,-1,1,0
58,27,-1,-1.0,-1,-1,1,0
58,28,4,0.3445947766304016,29,32,0,-1
58,29,4,0.014606066979467869,30,31,0,-1
58,30,-1,-1.0,-1,-1,1,0
58,31,-1,-1.0,-1,-1,1,1
58,32,-1,-1.0,-1,-1,1,0
59,0,4,0.41657984256744385,1,10,0,-1
59,1,2,0.22509761154651642,2,3,0,-1
59,2,-1,-1.0,-1,-1,1,1
59,3,3,0.660677433013916,4,9,0,-1
59,4,3,0.07189998403191566,5,6,0,-1
59,5,-1,-1.0,-1,-1,1,1
59,6,4,0.014606066979467869,7,8,0,-1
59,7,-1,-1.0,-1,-1,1,0
59,8,-1,-1.0,-1,-1,1,1
59,9,-1,-1.0,-1,-1,1,0
59,10,1,0.4174232557415962,11,12,0,-1
59,11,-1,-1.0,-1,-1,1,1
59,12,-1,-1.0,-1,-1,1,0
