out_idx,in_idx,weight
0,0,-2.530012
0,1,-2.1445203
0,2,-0.34232923
0,3,0.63738173
0,4,5.5616484
0,-1,-0.77379006
1,0,3.2729278
1,1,2.4842026
1,2,0.15337253
1,3,0.16973145
1,4,-5.813117
1,-1,1.034349
