tree_idx,node_idx,feature_idx,split_value,left_child,right_child,is_leaf,label
8,25,-1,-1.0,-1,-1,1,1
8,26,2,9.810467720031738,27,28,0,-1
8,27,-1,-1.0,-1,-1,1,1
8,28,-1,-1.0,-1,-1,1,0
8,29,4,7.37994384765625,30,31,0,-1
8,30,-1,-1.0,-1,-1,1,1
8,31,-1,-1.0,-1,-1,1,0
8,32,2,19.055004119873047,33,44,0,-1
8,33,1,19.433096885681152,34,41,0,-1
8,34,2,18.869635581970215,35,40,0,-1
8,35,0,12.264339923858643,36,39,0,-1
8,36,4,7.303086757659912,37,38,0,-1
8,37,-1,-1.0,-1,-1,1,1
8,38,-1,-1.0,-1,-1,1,0
8,39,-1,-1.0,-1,-1,1,1
8,40,-1,-1.0,-1,-1,1,1
8,41,4,7.1183061599731445,42,43,0,-1
8,42,-1,-1.0,-1,-1,1,1
8,43,-1,-1.0,-1,-1,1,0
8,44,0,11.630721092224121,45,48,0,-1
8,45,4,7.2109010219573975,46,47,0,-1
8,46,-1,-1.0,-1,-1,1,1
8,47,-1,-1.0,-1,-1,1,0
8,48,0,11.820971012115479,49,52,0,-1
8,49,4,7.24026894569397,50,51,0,-1
8,50,-1,-1.0,-1,-1,1,1
8,51,-1,-1.0,-1,-1,1,0
8,52,-1,-1.0,-1,-1,1,0
9,0,1,4.488639831542969,1,10,0,-1
9,1,0,32.85457801818848,2,9,0,-1
9,2,3,29.213808059692383,3,8,0,-1
9,3,2,0.7924812436103821,4,7,0,-1
9,4,0,32.52263641357422,5,6,0,-1
9,5,-1,-1.0,-1,-1,1,1
9,6,-1,-1.0,-1,-1,1,0
9,7,-1,-1.0,-1,-1,1,1
9,8,-1,-1.0,-1,-1,1,1
9,9,-1,-1.0,-1,-1,1,1
9,10,1,18.738548278808594,11,16,0,-1
9,11,4,7.630569934844971,12,15,0,-1
9,12,3,24.326420783996582,13,14,0,-1
9,13,-1,-1.0,-1,-1,1,1
9,14,-1,-1.0,-1,-1,1,0
9,15,-1,-1.0,-1,-1,1,0
9,16,1,19.069677352905273,17,22,0,-1
9,17,3,10.989498138427734,18,19,0,-1
9,18,-1,-1.0,-1,-1,1,0
9,19,4,7.451658487319946,20,21,0,-1
9,20,-1,-1.0,-1,-1,1,1
9,21,-1,-1.0,-1,-1,1,0
9,22,4,7.271636724472046,23,24,0,-1
9,23,-1,-1.0,-1,-1,1,1
9,24,-1,-1.0,-1,-1,1,0
10,0,1,9.21933913230896,1,10,0,-1
10,1,4,5.942466974258423,2,3,0,-1
10,2,-1,-1.0,-1,-1,1,0
10,3,4,7.705358028411865,4,5,0,-1
10,4,-1,-1.0,-1,-1,1,1
10,5,0,32.926870346069336,6,9,0,-1
10,6,4,8.27477216720581,7,8,0,-1
10,7,-1,-1.0,-1,-1,1,0
10,8,-1,-1.0,-1,-1,1,1
10,9,-1,-1.0,-1,-1,1,1
