out_idx,in_idx,weight
0,0,-0.09923735
0,1,0.48808843
0,2,0.68838406
0,3,0.84244394
0,4,-0.27419496
0,-1,-0.03872569
1,0,0.34442294
1,1,-0.47753856
1,2,0.13157322
1,3,0.35564762
1,4,0.8153516
1,-1,0.34430692
